No.1, R2: 0.729200, MSE: 0.084866, MAE: 0.238892, EV: 0.735049 {'colsample_bytree': 0.6944117522986926, 'gamma': 0.3130056486810697, 'learning_rate': 0.47734775430977555, 'max_depth': 6.0, 'min_child_weight': 1.4230548664800526, 'n_estimators': 189.0, 'subsample': 0.7246126834576645}
No.2, R2: 0.681311, MSE: 0.099874, MAE: 0.279090, EV: 0.699026 {'colsample_bytree': 0.6990956626024403, 'gamma': 0.309496700248228, 'learning_rate': 0.48353606537556226, 'max_depth': 7.0, 'min_child_weight': 1.431941763820877, 'n_estimators': 196.0, 'subsample': 0.7308124762945225}
No.3, R2: 0.769294, MSE: 0.072301, MAE: 0.215703, EV: 0.771369 {'colsample_bytree': 0.6895685895255941, 'gamma': 0.3127052723918598, 'learning_rate': 0.4819573029315504, 'max_depth': 7.0, 'min_child_weight': 1.423168332140208, 'n_estimators': 195.0, 'subsample': 0.7456688015081644}
No.4, R2: 0.780788, MSE: 0.068699, MAE: 0.215186, EV: 0.783377 {'colsample_bytree': 0.6913114752446409, 'gamma': 0.3269815251080718, 'learning_rate': 0.4724994506067337, 'max_depth': 8.0, 'min_child_weight': 1.4362327224330629, 'n_estimators': 193.0, 'subsample': 0.7213880701488058}
No.5, R2: 0.801354, MSE: 0.062254, MAE: 0.202326, EV: 0.802555 {'colsample_bytree': 0.7012178854014849, 'gamma': 0.3189042639400283, 'learning_rate': 0.47807235100438167, 'max_depth': 7.0, 'min_child_weight': 1.426304925329934, 'n_estimators': 188.0, 'subsample': 0.7423036357417478}
No.6, R2: 0.741533, MSE: 0.081001, MAE: 0.234993, EV: 0.760798 {'colsample_bytree': 0.6925062409568673, 'gamma': 0.3119011561119001, 'learning_rate': 0.4820986887180364, 'max_depth': 7.0, 'min_child_weight': 1.4280368522304183, 'n_estimators': 182.0, 'subsample': 0.7498290960163531}
No.7, R2: 0.719530, MSE: 0.087896, MAE: 0.246664, EV: 0.719546 {'colsample_bytree': 0.7029841778525634, 'gamma': 0.3015273543444839, 'learning_rate': 0.4776897839599079, 'max_depth': 8.0, 'min_child_weight': 1.4368108093301981, 'n_estimators': 183.0, 'subsample': 0.7405087987475494}
No.8, R2: 0.670085, MSE: 0.103392, MAE: 0.273065, EV: 0.700201 {'colsample_bytree': 0.6988055883666701, 'gamma': 0.3263905465083507, 'learning_rate': 0.4718400028630857, 'max_depth': 6.0, 'min_child_weight': 1.4253374462042456, 'n_estimators': 194.0, 'subsample': 0.7441830082099645}
No.9, R2: 0.601502, MSE: 0.124885, MAE: 0.298004, EV: 0.621854 {'colsample_bytree': 0.7022156231636504, 'gamma': 0.31413672723675823, 'learning_rate': 0.4811845750488539, 'max_depth': 8.0, 'min_child_weight': 1.4322380074331276, 'n_estimators': 200.0, 'subsample': 0.7330552726439584}
No.10, R2: 0.754784, MSE: 0.076848, MAE: 0.226712, EV: 0.757226 {'colsample_bytree': 0.7045959711238893, 'gamma': 0.3274208716143065, 'learning_rate': 0.47310177385802593, 'max_depth': 8.0, 'min_child_weight': 1.4312469830961996, 'n_estimators': 196.0, 'subsample': 0.7256326303329232}
No.11, R2: 0.649344, MSE: 0.109892, MAE: 0.272689, EV: 0.676213 {'colsample_bytree': 0.6867165492899416, 'gamma': 0.31974595215783685, 'learning_rate': 0.4892796559423006, 'max_depth': 6.0, 'min_child_weight': 1.4336125798124508, 'n_estimators': 198.0, 'subsample': 0.7416608262720746}
No.12, R2: 0.782604, MSE: 0.068130, MAE: 0.219094, EV: 0.782783 {'colsample_bytree': 0.690881244489569, 'gamma': 0.3196044336182639, 'learning_rate': 0.47569863197299944, 'max_depth': 7.0, 'min_child_weight': 1.42305696004705, 'n_estimators': 191.0, 'subsample': 0.7211088968487864}
No.13, R2: 0.755792, MSE: 0.076532, MAE: 0.226373, EV: 0.757480 {'colsample_bytree': 0.7014120775131404, 'gamma': 0.32555770985824745, 'learning_rate': 0.47557810303185577, 'max_depth': 8.0, 'min_child_weight': 1.4243668355925787, 'n_estimators': 195.0, 'subsample': 0.7255846235794201}
No.14, R2: 0.646726, MSE: 0.110712, MAE: 0.283117, EV: 0.648602 {'colsample_bytree': 0.6991360242229112, 'gamma': 0.309636275513001, 'learning_rate': 0.47104749467294127, 'max_depth': 7.0, 'min_child_weight': 1.431099536502427, 'n_estimators': 193.0, 'subsample': 0.7230127979629375}
No.15, R2: 0.615996, MSE: 0.120343, MAE: 0.302764, EV: 0.634689 {'colsample_bytree': 0.6983528831443647, 'gamma': 0.3114987424944079, 'learning_rate': 0.4809012731007423, 'max_depth': 8.0, 'min_child_weight': 1.4303647672678108, 'n_estimators': 194.0, 'subsample': 0.7305834541878898}
No.16, R2: 0.769089, MSE: 0.072365, MAE: 0.207766, EV: 0.772176 {'colsample_bytree': 0.7041785276725381, 'gamma': 0.30388965553404806, 'learning_rate': 0.48010600434320866, 'max_depth': 7.0, 'min_child_weight': 1.4362343772229313, 'n_estimators': 185.0, 'subsample': 0.7360180267930603}
No.17, R2: 0.611657, MSE: 0.121703, MAE: 0.297400, EV: 0.619870 {'colsample_bytree': 0.6921420929879426, 'gamma': 0.32831218005697393, 'learning_rate': 0.48970202779098004, 'max_depth': 6.0, 'min_child_weight': 1.4295566795479213, 'n_estimators': 199.0, 'subsample': 0.7364131759455004}
No.18, R2: 0.780124, MSE: 0.068907, MAE: 0.212705, EV: 0.780315 {'colsample_bytree': 0.69880855276104, 'gamma': 0.31539119764317053, 'learning_rate': 0.47635006347195497, 'max_depth': 8.0, 'min_child_weight': 1.4244359650868128, 'n_estimators': 187.0, 'subsample': 0.7288284079545161}
No.19, R2: 0.760634, MSE: 0.075015, MAE: 0.229755, EV: 0.769119 {'colsample_bytree': 0.6862660877653616, 'gamma': 0.3179049159430893, 'learning_rate': 0.4756834173976577, 'max_depth': 7.0, 'min_child_weight': 1.433429363141389, 'n_estimators': 199.0, 'subsample': 0.7231472607918327}
No.20, R2: 0.678870, MSE: 0.100639, MAE: 0.276710, EV: 0.711298 {'colsample_bytree': 0.7038269450225193, 'gamma': 0.31499761047755487, 'learning_rate': 0.4703557890029404, 'max_depth': 6.0, 'min_child_weight': 1.4387568905410189, 'n_estimators': 191.0, 'subsample': 0.7475458622075415}
No.21, R2: 0.804808, MSE: 0.061171, MAE: 0.208711, EV: 0.809528 {'colsample_bytree': 0.695981334014051, 'gamma': 0.3229240137953128, 'learning_rate': 0.48635410037172644, 'max_depth': 7.0, 'min_child_weight': 1.420238251242841, 'n_estimators': 189.0, 'subsample': 0.7390859891866943}
No.22, R2: 0.805104, MSE: 0.061078, MAE: 0.208375, EV: 0.809507 {'colsample_bytree': 0.6963042897179281, 'gamma': 0.32307330634345216, 'learning_rate': 0.4866320135782003, 'max_depth': 7.0, 'min_child_weight': 1.4213952162045962, 'n_estimators': 187.0, 'subsample': 0.7388075108297784}
No.23, R2: 0.804838, MSE: 0.061162, MAE: 0.208661, EV: 0.809506 {'colsample_bytree': 0.6961946217688046, 'gamma': 0.32382702345083036, 'learning_rate': 0.48664112074103266, 'max_depth': 7.0, 'min_child_weight': 1.4202220493167856, 'n_estimators': 186.0, 'subsample': 0.7390447761211362}
No.24, R2: 0.788836, MSE: 0.066177, MAE: 0.206332, EV: 0.793099 {'colsample_bytree': 0.6960813754842993, 'gamma': 0.3225300654336118, 'learning_rate': 0.486975890669862, 'max_depth': 7.0, 'min_child_weight': 1.4201044576617987, 'n_estimators': 185.0, 'subsample': 0.7380855903737571}
No.25, R2: 0.785392, MSE: 0.067256, MAE: 0.203877, EV: 0.787340 {'colsample_bytree': 0.6942578256203188, 'gamma': 0.32997069008690766, 'learning_rate': 0.4849945491032368, 'max_depth': 7.0, 'min_child_weight': 1.4205543446133275, 'n_estimators': 180.0, 'subsample': 0.7339093113251723}
No.26, R2: 0.604116, MSE: 0.124066, MAE: 0.279390, EV: 0.607279 {'colsample_bytree': 0.6962805115529391, 'gamma': 0.32355365296031147, 'learning_rate': 0.48791802844052223, 'max_depth': 6.0, 'min_child_weight': 1.4217446656876849, 'n_estimators': 186.0, 'subsample': 0.7497542586903163}
No.27, R2: 0.764442, MSE: 0.073821, MAE: 0.222782, EV: 0.764628 {'colsample_bytree': 0.6934378294820025, 'gamma': 0.32964875153247364, 'learning_rate': 0.4838242263955362, 'max_depth': 7.0, 'min_child_weight': 1.4277596844526435, 'n_estimators': 183.0, 'subsample': 0.7437367731899771}
No.28, R2: 0.806380, MSE: 0.060678, MAE: 0.200255, EV: 0.813878 {'colsample_bytree': 0.6880842613182659, 'gamma': 0.3216740226955659, 'learning_rate': 0.48839878724661534, 'max_depth': 7.0, 'min_child_weight': 1.4217974118661034, 'n_estimators': 182.0, 'subsample': 0.7384007943327928}
No.29, R2: 0.638506, MSE: 0.113288, MAE: 0.282668, EV: 0.650449 {'colsample_bytree': 0.6885324223947268, 'gamma': 0.31706374701804263, 'learning_rate': 0.48994908456846886, 'max_depth': 6.0, 'min_child_weight': 1.4217876258770885, 'n_estimators': 180.0, 'subsample': 0.7472201643770577}
No.30, R2: 0.729599, MSE: 0.084741, MAE: 0.240736, EV: 0.754913 {'colsample_bytree': 0.6880468205025332, 'gamma': 0.321487999603235, 'learning_rate': 0.48824804570341573, 'max_depth': 6.0, 'min_child_weight': 1.4268255283204634, 'n_estimators': 182.0, 'subsample': 0.7369737807199302}
No.31, R2: 0.700156, MSE: 0.093968, MAE: 0.261089, EV: 0.712971 {'colsample_bytree': 0.6851673561075229, 'gamma': 0.3054634342128835, 'learning_rate': 0.4846646794160187, 'max_depth': 7.0, 'min_child_weight': 1.421625601445237, 'n_estimators': 184.0, 'subsample': 0.732057595692355}
No.32, R2: 0.831198, MSE: 0.052901, MAE: 0.185805, EV: 0.832686 {'colsample_bytree': 0.6898190857681656, 'gamma': 0.32530761285047033, 'learning_rate': 0.4853708707255113, 'max_depth': 7.0, 'min_child_weight': 1.4239642726032193, 'n_estimators': 189.0, 'subsample': 0.7283592053776378}
No.33, R2: 0.617587, MSE: 0.119844, MAE: 0.267990, EV: 0.631188 {'colsample_bytree': 0.6904363974953315, 'gamma': 0.31669499956103997, 'learning_rate': 0.4852876755003319, 'max_depth': 7.0, 'min_child_weight': 1.424227825235665, 'n_estimators': 190.0, 'subsample': 0.7277140417752511}
No.34, R2: 0.819632, MSE: 0.056525, MAE: 0.191973, EV: 0.821400 {'colsample_bytree': 0.6888522436085619, 'gamma': 0.32480812071920556, 'learning_rate': 0.48845641105493937, 'max_depth': 8.0, 'min_child_weight': 1.428813810639587, 'n_estimators': 181.0, 'subsample': 0.7289432290119416}
No.35, R2: 0.830240, MSE: 0.053201, MAE: 0.198242, EV: 0.830896 {'colsample_bytree': 0.6896367069810165, 'gamma': 0.32490514257053504, 'learning_rate': 0.4830869445603672, 'max_depth': 8.0, 'min_child_weight': 1.4292068711255599, 'n_estimators': 189.0, 'subsample': 0.7279329071297176}
No.36, R2: 0.644369, MSE: 0.111451, MAE: 0.276661, EV: 0.644543 {'colsample_bytree': 0.6898298607532555, 'gamma': 0.3284279903652678, 'learning_rate': 0.48298735358936334, 'max_depth': 8.0, 'min_child_weight': 1.4265704242882637, 'n_estimators': 192.0, 'subsample': 0.7200219458015866}
No.37, R2: 0.714984, MSE: 0.089321, MAE: 0.261142, EV: 0.714992 {'colsample_bytree': 0.686697669659978, 'gamma': 0.32070502507538184, 'learning_rate': 0.4790232802098004, 'max_depth': 8.0, 'min_child_weight': 1.434775372948421, 'n_estimators': 189.0, 'subsample': 0.7309553489927431}
No.38, R2: 0.830074, MSE: 0.053253, MAE: 0.198271, EV: 0.830919 {'colsample_bytree': 0.6920964865420628, 'gamma': 0.3256180607293298, 'learning_rate': 0.48254241519931834, 'max_depth': 8.0, 'min_child_weight': 1.4398161517383645, 'n_estimators': 188.0, 'subsample': 0.7269242230545468}
No.39, R2: 0.743909, MSE: 0.080256, MAE: 0.233546, EV: 0.749007 {'colsample_bytree': 0.6852872468686112, 'gamma': 0.32980212880266024, 'learning_rate': 0.4839136827738227, 'max_depth': 8.0, 'min_child_weight': 1.4276657637209504, 'n_estimators': 190.0, 'subsample': 0.7244562955851829}
No.40, R2: 0.710241, MSE: 0.090807, MAE: 0.251294, EV: 0.725470 {'colsample_bytree': 0.6930365971704042, 'gamma': 0.3066042127111617, 'learning_rate': 0.4786643605197806, 'max_depth': 6.0, 'min_child_weight': 1.425218289146618, 'n_estimators': 192.0, 'subsample': 0.7294919602381744}
No.41, R2: 0.573515, MSE: 0.133656, MAE: 0.274664, EV: 0.604056 {'colsample_bytree': 0.6912594522672577, 'gamma': 0.32746931809812935, 'learning_rate': 0.481474545329427, 'max_depth': 8.0, 'min_child_weight': 1.4295647760627321, 'n_estimators': 197.0, 'subsample': 0.7335482451867797}
No.42, R2: 0.764768, MSE: 0.073719, MAE: 0.224074, EV: 0.766176 {'colsample_bytree': 0.6947288288599975, 'gamma': 0.3189465339855048, 'learning_rate': 0.4797277511997412, 'max_depth': 8.0, 'min_child_weight': 1.432638287462938, 'n_estimators': 188.0, 'subsample': 0.7226042250484448}
No.43, R2: 0.716817, MSE: 0.088746, MAE: 0.233982, EV: 0.727378 {'colsample_bytree': 0.6896606590214186, 'gamma': 0.3250188412854992, 'learning_rate': 0.47346632698946095, 'max_depth': 6.0, 'min_child_weight': 1.4254071626452136, 'n_estimators': 191.0, 'subsample': 0.7266886040979429}
No.44, R2: 0.604845, MSE: 0.123837, MAE: 0.294742, EV: 0.631147 {'colsample_bytree': 0.6870822004654791, 'gamma': 0.3123057220627771, 'learning_rate': 0.48535414590883, 'max_depth': 8.0, 'min_child_weight': 1.4232232791809232, 'n_estimators': 189.0, 'subsample': 0.7349640310568286}
No.45, R2: 0.639409, MSE: 0.113005, MAE: 0.291242, EV: 0.675779 {'colsample_bytree': 0.6974219071078723, 'gamma': 0.3103764786697765, 'learning_rate': 0.4772636497448462, 'max_depth': 6.0, 'min_child_weight': 1.4345298022540471, 'n_estimators': 194.0, 'subsample': 0.7319116042787954}
No.46, R2: 0.765421, MSE: 0.073514, MAE: 0.235305, EV: 0.765426 {'colsample_bytree': 0.6940511511306114, 'gamma': 0.30825400610027154, 'learning_rate': 0.48191837443974617, 'max_depth': 8.0, 'min_child_weight': 1.430697822583663, 'n_estimators': 192.0, 'subsample': 0.7212952364120252}
No.47, R2: 0.750059, MSE: 0.078329, MAE: 0.230106, EV: 0.759737 {'colsample_bytree': 0.6858481936733404, 'gamma': 0.3001656732883561, 'learning_rate': 0.48049289639817105, 'max_depth': 8.0, 'min_child_weight': 1.4316526570254815, 'n_estimators': 193.0, 'subsample': 0.7241530231753451}
No.48, R2: 0.769800, MSE: 0.072142, MAE: 0.218110, EV: 0.769840 {'colsample_bytree': 0.700511099033299, 'gamma': 0.32681088422571825, 'learning_rate': 0.4745465815423156, 'max_depth': 6.0, 'min_child_weight': 1.4286218511291284, 'n_estimators': 184.0, 'subsample': 0.7255206210100829}
No.49, R2: 0.671192, MSE: 0.103045, MAE: 0.280613, EV: 0.696642 {'colsample_bytree': 0.6873606647799427, 'gamma': 0.3132906593177328, 'learning_rate': 0.4828454212483794, 'max_depth': 7.0, 'min_child_weight': 1.4374031918652597, 'n_estimators': 196.0, 'subsample': 0.7305023421202066}
No.50, R2: 0.691394, MSE: 0.096714, MAE: 0.249098, EV: 0.709087 {'colsample_bytree': 0.6917103745402895, 'gamma': 0.32020760848410723, 'learning_rate': 0.48584678376321533, 'max_depth': 8.0, 'min_child_weight': 1.4235514254178656, 'n_estimators': 186.0, 'subsample': 0.7278091430868195}
No.51, R2: 0.581826, MSE: 0.131051, MAE: 0.291524, EV: 0.615484 {'colsample_bytree': 0.690499130227999, 'gamma': 0.3288926555068959, 'learning_rate': 0.4876747402769812, 'max_depth': 8.0, 'min_child_weight': 1.425779131362361, 'n_estimators': 195.0, 'subsample': 0.7354588043445252}
No.52, R2: 0.776454, MSE: 0.070057, MAE: 0.220628, EV: 0.779883 {'colsample_bytree': 0.6891932395891045, 'gamma': 0.3157694425850178, 'learning_rate': 0.48423368395686855, 'max_depth': 6.0, 'min_child_weight': 1.4271647871668212, 'n_estimators': 187.0, 'subsample': 0.7224063687074402}
No.53, R2: 0.801241, MSE: 0.062289, MAE: 0.202482, EV: 0.802448 {'colsample_bytree': 0.693037031956793, 'gamma': 0.3178112078144401, 'learning_rate': 0.47713802365203606, 'max_depth': 7.0, 'min_child_weight': 1.4289906037906641, 'n_estimators': 188.0, 'subsample': 0.7416952343186322}
